c1,c2,c3,c4,c5,c6,c7,c8,c9
1,5,98,1,3,19,910,6,0
1,14,217,0,1,5,92,5,0
1,18,217,1,7,5,92,8,0
1,30,217,1,7,5,92,8,0
3,5,145,1,2,14,302,5,0
3,11,217,1,1,10,758,5,0
4,5,217,1,5,7,94,9,1
4,11,217,1,7,5,92,8,0
4,15,217,1,2,2,227,5,0
4,23,145,1,9,1,302,13,0
4,23,145,1,9,1,302,13,0
4,23,145,1,9,2,302,13,0
4,24,145,1,2,19,302,5,0
4,25,217,1,7,5,92,8,0
4,28,145,1,2,2,302,5,0
5,7,43,1,3,8,816,6,0
6,6,217,1,7,5,92,8,0
6,13,209,1,6,1,182,5,0
6,21,217,0,7,5,92,8,0
7,1,217,1,7,5,92,8,0
8,1,217,1,7,5,92,8,0
8,8,186,1,3,4,9,6,1
8,8,217,1,7,5,92,8,0
8,18,217,1,7,5,92,8,0
8,18,217,1,7,5,92,8,0
9,6,217,1,7,5,92,8,0
9,16,217,1,7,5,92,8,0
9,30,186,1,2,4,9,6,0
10,24,217,1,7,2,68,8,1
10,24,217,1,7,8,68,8,1
11,2,217,1,7,5,92,8,0
11,8,217,1,7,1,293,8,0
11,19,217,0,7,8,1056,8,1
11,28,217,1,7,5,92,8,0
12,0,217,1,7,14,1443,8,0
12,10,217,1,3,4,1636,6,1
12,24,217,1,7,5,92,8,0
1,0,217,1,7,5,92,8,0
1,6,217,0,3,14,764,6,1
1,6,217,0,3,14,764,6,1
1,25,217,1,5,1,239,5,0
1,27,217,1,7,1,898,8,1
1,30,217,1,7,1,898,8,0
2,15,217,1,5,1,239,5,0
3,4,217,1,5,1,239,5,0
6,8,217,1,5,1,239,5,0
7,27,45,1,9,4,14,13,0
7,27,217,1,7,1,802,8,1
7,31,217,1,7,1,802,8,1
8,9,217,0,3,5,92,6,0
8,10,217,1,7,5,92,8,0
9,16,92,0,9,2,58,13,0
9,21,217,1,6,1,239,5,0
10,9,217,1,7,5,92,8,0
10,9,217,1,7,5,92,8,0
10,11,217,1,7,5,92,8,0
10,15,217,1,7,1,1,8,0
10,16,157,0,2,11,217,5,0
10,16,217,1,2,14,40,5,0
10,16,217,1,2,14,40,5,0
10,16,217,1,2,14,40,5,0
10,17,217,0,7,5,92,8,0
10,25,217,1,7,1,239,5,0
11,2,45,1,3,3,5,6,0
11,11,217,1,5,1,239,5,0
11,13,6,1,4,6,1495,9,1
